"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2018,8,"Nou Barris",56,"Vallbona","Home","60 anys",5
2018,9,"Sant Andreu",57,"la Trinitat Vella","Home","60 anys",52
2018,9,"Sant Andreu",58,"Baró de Viver","Home","60 anys",13
2018,9,"Sant Andreu",59,"el Bon Pastor","Home","60 anys",58
2018,9,"Sant Andreu",60,"Sant Andreu","Home","60 anys",374
2018,9,"Sant Andreu",61,"la Sagrera","Home","60 anys",174
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Home","60 anys",74
2018,9,"Sant Andreu",63,"Navas","Home","60 anys",125
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","60 anys",213
2018,10,"Sant Martí",65,"el Clot","Home","60 anys",158
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","60 anys",95
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","60 anys",72
2018,10,"Sant Martí",68,"el Poblenou","Home","60 anys",186
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","60 anys",45
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Home","60 anys",142
2018,10,"Sant Martí",71,"Provençals del Poblenou","Home","60 anys",106
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Home","60 anys",150
2018,10,"Sant Martí",73,"la Verneda i la Pau","Home","60 anys",162
2018,1,"Ciutat Vella",1,"el Raval","Home","61 anys",216
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home","61 anys",92
2018,1,"Ciutat Vella",3,"la Barceloneta","Home","61 anys",58
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","61 anys",106
2018,2,"Eixample",5,"el Fort Pienc","Home","61 anys",177
2018,2,"Eixample",6,"la Sagrada Família","Home","61 anys",261
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home","61 anys",235
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","61 anys",202
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","61 anys",332
2018,2,"Eixample",10,"Sant Antoni","Home","61 anys",194
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home","61 anys",164
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","61 anys",9
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home","61 anys",168
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","61 anys",44
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home","61 anys",89
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home","61 anys",116
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home","61 anys",152
2018,3,"Sants-Montjuïc",18,"Sants","Home","61 anys",211
2018,4,"Les Corts",19,"les Corts","Home","61 anys",267
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","61 anys",122
2018,4,"Les Corts",21,"Pedralbes","Home","61 anys",51
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","61 anys",38
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","61 anys",119
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","61 anys",74
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","61 anys",138
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","61 anys",251
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","61 anys",132
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home","61 anys",91
2018,6,"Gràcia",29,"el Coll","Home","61 anys",34
2018,6,"Gràcia",30,"la Salut","Home","61 anys",67
2018,6,"Gràcia",31,"la Vila de Gràcia","Home","61 anys",224
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","61 anys",183
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","61 anys",147
2018,7,"Horta-Guinardó",34,"Can Baró","Home","61 anys",58
2018,7,"Horta-Guinardó",35,"el Guinardó","Home","61 anys",178
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","61 anys",55
2018,7,"Horta-Guinardó",37,"el Carmel","Home","61 anys",127
2018,7,"Horta-Guinardó",38,"la Teixonera","Home","61 anys",58
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","61 anys",40
2018,7,"Horta-Guinardó",40,"Montbau","Home","61 anys",29
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","61 anys",36
2018,7,"Horta-Guinardó",42,"la Clota","Home","61 anys",1
2018,7,"Horta-Guinardó",43,"Horta","Home","61 anys",145
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","61 anys",126
2018,8,"Nou Barris",45,"Porta","Home","61 anys",121
2018,8,"Nou Barris",46,"el Turó de la Peira","Home","61 anys",70
2018,8,"Nou Barris",47,"Can Peguera","Home","61 anys",11
2018,8,"Nou Barris",48,"la Guineueta","Home","61 anys",81
2018,8,"Nou Barris",49,"Canyelles","Home","61 anys",40
2018,8,"Nou Barris",50,"les Roquetes","Home","61 anys",79
2018,8,"Nou Barris",51,"Verdun","Home","61 anys",39
2018,8,"Nou Barris",52,"la Prosperitat","Home","61 anys",133
2018,8,"Nou Barris",53,"la Trinitat Nova","Home","61 anys",50
2018,8,"Nou Barris",54,"Torre Baró","Home","61 anys",9
2018,8,"Nou Barris",55,"Ciutat Meridiana","Home","61 anys",42
