Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Age,Total
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Female,15-19,453
2019,4,Les Corts,21,Pedralbes,Female,15-19,385
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,15-19,141
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Female,15-19,715
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,15-19,502
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,15-19,770
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,15-19,1383
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,15-19,761
2019,6,Gràcia,28,Vallcarca i els Penitents,Female,15-19,334
2019,6,Gràcia,29,el Coll,Female,15-19,160
2019,6,Gràcia,30,la Salut,Female,15-19,225
2019,6,Gràcia,31,la Vila de Gràcia,Female,15-19,854
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,15-19,654
2019,7,Horta-Guinardó,33,el Baix Guinardó,Female,15-19,453
2019,7,Horta-Guinardó,34,Can Baró,Female,15-19,168
2019,7,Horta-Guinardó,35,el Guinardó,Female,15-19,738
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Female,15-19,240
2019,7,Horta-Guinardó,37,el Carmel,Female,15-19,663
2019,7,Horta-Guinardó,38,la Teixonera,Female,15-19,262
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,15-19,165
2019,7,Horta-Guinardó,40,Montbau,Female,15-19,102
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Female,15-19,133
2019,7,Horta-Guinardó,42,la Clota,Female,15-19,11
2019,7,Horta-Guinardó,43,Horta,Female,15-19,541
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,15-19,567
2019,8,Nou Barris,45,Porta,Female,15-19,517
2019,8,Nou Barris,46,el Turó de la Peira,Female,15-19,360
2019,8,Nou Barris,47,Can Peguera,Female,15-19,49
2019,8,Nou Barris,48,la Guineueta,Female,15-19,311
2019,8,Nou Barris,49,Canyelles,Female,15-19,139
2019,8,Nou Barris,50,les Roquetes,Female,15-19,385
2019,8,Nou Barris,51,Verdun,Female,15-19,278
2019,8,Nou Barris,52,la Prosperitat,Female,15-19,605
2019,8,Nou Barris,53,la Trinitat Nova,Female,15-19,186
2019,8,Nou Barris,54,Torre Baró,Female,15-19,84
2019,8,Nou Barris,55,Ciutat Meridiana,Female,15-19,268
2019,8,Nou Barris,56,Vallbona,Female,15-19,40
2019,9,Sant Andreu,57,la Trinitat Vella,Female,15-19,232
2019,9,Sant Andreu,58,Baró de Viver,Female,15-19,67
2019,9,Sant Andreu,59,el Bon Pastor,Female,15-19,327
2019,9,Sant Andreu,60,Sant Andreu,Female,15-19,1220
2019,9,Sant Andreu,61,la Sagrera,Female,15-19,539
2019,9,Sant Andreu,62,el Congrés i els Indians,Female,15-19,331
2019,9,Sant Andreu,63,Navas,Female,15-19,472
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,15-19,674
2019,10,Sant Martí,65,el Clot,Female,15-19,562
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,15-19,283
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,15-19,291
2019,10,Sant Martí,68,el Poblenou,Female,15-19,704
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,15-19,295
2019,10,Sant Martí,70,el Besòs i el Maresme,Female,15-19,538
2019,10,Sant Martí,71,Provençals del Poblenou,Female,15-19,409
2019,10,Sant Martí,72,Sant Martí de Provençals,Female,15-19,534
2019,10,Sant Martí,73,la Verneda i la Pau,Female,15-19,593
2019,1,Ciutat Vella,1,el Raval,Female,20-24,1422
2019,1,Ciutat Vella,2,el Barri Gòtic,Female,20-24,621
2019,1,Ciutat Vella,3,la Barceloneta,Female,20-24,471
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,20-24,638
2019,2,Eixample,5,el Fort Pienc,Female,20-24,850
2019,2,Eixample,6,la Sagrada Família,Female,20-24,1341
2019,2,Eixample,7,la Dreta de l'Eixample,Female,20-24,1180
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,20-24,1122
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,20-24,1468
2019,2,Eixample,10,Sant Antoni,Female,20-24,934
2019,3,Sants-Montjuïc,11,el Poble Sec,Female,20-24,976
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,20-24,34
2019,3,Sants-Montjuïc,13,la Marina de Port,Female,20-24,865
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,20-24,246
2019,3,Sants-Montjuïc,15,Hostafrancs,Female,20-24,389
2019,3,Sants-Montjuïc,16,la Bordeta,Female,20-24,401
2019,3,Sants-Montjuïc,17,Sants - Badal,Female,20-24,576
2019,3,Sants-Montjuïc,18,Sants,Female,20-24,975
2019,4,Les Corts,19,les Corts,Female,20-24,1045
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Female,20-24,578
2019,4,Les Corts,21,Pedralbes,Female,20-24,324
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,20-24,120
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Female,20-24,661
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,20-24,539
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,20-24,764
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,20-24,1454
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,20-24,830
2019,6,Gràcia,28,Vallcarca i els Penitents,Female,20-24,369
2019,6,Gràcia,29,el Coll,Female,20-24,189
2019,6,Gràcia,30,la Salut,Female,20-24,293
2019,6,Gràcia,31,la Vila de Gràcia,Female,20-24,1181
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,20-24,799
2019,7,Horta-Guinardó,33,el Baix Guinardó,Female,20-24,549
2019,7,Horta-Guinardó,34,Can Baró,Female,20-24,197
2019,7,Horta-Guinardó,35,el Guinardó,Female,20-24,842
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Female,20-24,201
2019,7,Horta-Guinardó,37,el Carmel,Female,20-24,799
2019,7,Horta-Guinardó,38,la Teixonera,Female,20-24,303
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,20-24,164
2019,7,Horta-Guinardó,40,Montbau,Female,20-24,139
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Female,20-24,134
2019,7,Horta-Guinardó,42,la Clota,Female,20-24,18
2019,7,Horta-Guinardó,43,Horta,Female,20-24,657
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,20-24,638
2019,8,Nou Barris,45,Porta,Female,20-24,648
2019,8,Nou Barris,46,el Turó de la Peira,Female,20-24,393
2019,8,Nou Barris,47,Can Peguera,Female,20-24,52
2019,8,Nou Barris,48,la Guineueta,Female,20-24,353
2019,8,Nou Barris,49,Canyelles,Female,20-24,150
2019,8,Nou Barris,50,les Roquetes,Female,20-24,467
2019,8,Nou Barris,51,Verdun,Female,20-24,319
2019,8,Nou Barris,52,la Prosperitat,Female,20-24,635
2019,8,Nou Barris,53,la Trinitat Nova,Female,20-24,215
2019,8,Nou Barris,54,Torre Baró,Female,20-24,90
2019,8,Nou Barris,55,Ciutat Meridiana,Female,20-24,338
2019,8,Nou Barris,56,Vallbona,Female,20-24,32
2019,9,Sant Andreu,57,la Trinitat Vella,Female,20-24,300
2019,9,Sant Andreu,58,Baró de Viver,Female,20-24,68
2019,9,Sant Andreu,59,el Bon Pastor,Female,20-24,308
2019,9,Sant Andreu,60,Sant Andreu,Female,20-24,1135
2019,9,Sant Andreu,61,la Sagrera,Female,20-24,628
2019,9,Sant Andreu,62,el Congrés i els Indians,Female,20-24,358
2019,9,Sant Andreu,63,Navas,Female,20-24,546
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,20-24,904
2019,10,Sant Martí,65,el Clot,Female,20-24,685
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,20-24,370
